Keyword Stats 2026-06-19 at 14_52_54,,,,,,,,,,,,,,,,,,,,,,,,,
"June 1, 2025 - May 31, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026,Searches: Apr 2026,Searches: May 2026
square footage to ac tonnage,USD,500,0%,0%,Medium,39,0.31,2.96,,,,,,,,,,,,,,,,,
static pressure calculation in duct,USD,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
static pressure formula hvac,USD,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
static pressure hvac formula,USD,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
subcool and superheat calculator,USD,500,0%,0%,Low,3,1.33,4.81,,,,,,,,,,,,,,,,,
superheat and subcool calculator,USD,500,0%,0%,Low,3,1.33,4.81,,,,,,,,,,,,,,,,,
superheat and subcooling calculator online,USD,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
thermal load calculation,USD,50,0%,0%,Low,25,0.63,3.03,,,,,,,,,,,,,,,,,
ton air conditioner square footage,USD,500,0%,0%,Medium,39,0.31,2.96,,,,,,,,,,,,,,,,,
ton of air conditioning per square foot,USD,500,0%,-90%,Medium,33,0.34,4.35,,,,,,,,,,,,,,,,,
tonnage ac,USD,50,0%,-90%,Low,17,0.46,9.22,,,,,,,,,,,,,,,,,
tonnage needed for ac,USD,50,0%,0%,High,82,0.63,4.50,,,,,,,,,,,,,,,,,
tonnage of ac and room size,USD,0,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
tonnage of ac required for room,USD,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
tonnage on ac unit,USD,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
tonnage per square foot ac,USD,500,0%,-90%,Medium,33,0.34,4.35,,,,,,,,,,,,,,,,,
tonnage required for ac,USD,50,0%,0%,High,82,0.63,4.50,,,,,,,,,,,,,,,,,
total cooling load formula,USD,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
total heat formula hvac,USD,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
tr formula in hvac,USD,0,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
trane air duct calculator,USD,50,0%,0%,High,82,,,,,,,,,,,,,,,,,,,
trane duct sizer,USD,50,0%,0%,Low,14,,,,,,,,,,,,,,,,,,,
trane furnace size calculator,USD,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
trane trace load calculation,USD,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
treated fresh air calculation formula,USD,50,∞,0%,Low,0,,,,,,,,,,,,,,,,,,,
ventilation cooling load calculation,USD,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
ventilation duct calculator,USD,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
ventilation duct size calculator,USD,50,-100%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
ventilation heat load calculation,USD,50,∞,0%,Low,14,,,,,,,,,,,,,,,,,,,
weight of ductwork calculator,USD,500,-90%,-90%,Low,2,,,,,,,,,,,,,,,,,,,
window ac tonnage calculator,USD,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
wrightsoft manual d,USD,50,0%,0%,Low,11,,,,,,,,,,,,,,,,,,,
